Index,Time,((moto_yaw)->Moto_Measure).moment,((moto_yaw)->Moto_Measure).speed_rpm,((referee_data)->PowerHeatData).chassis_power
520,0.520939,14,0,0.477426976
521,0.521740,14,0,0.477426976
522,0.522992,14,0,0.477426976
523,0.523889,-52,0,0.481619
524,0.524691,-52,0,0.481619
525,0.525934,-59,0,0.481619
526,0.526735,-59,0,0.481619
527,0.528054,21,0,0.481619
528,0.528939,21,0,0.481619
529,0.529912,14,0,0.481619
530,0.530713,14,0,0.481619
531,0.531966,-59,0,0.481619
532,0.532768,-59,0,0.481619
533,0.533628,-113,0,0.481619
534,0.534903,-113,0,0.481619
535,0.535704,-52,0,0.481619
536,0.536952,-52,0,0.481619
537,0.537754,82,0,0.481619
538,0.538623,82,0,0.481619
539,0.539897,75,0,0.481619
540,0.540758,75,0,0.481619
541,0.541646,7,0,0.481619
542,0.542645,7,0,0.481619
543,0.544077,21,0,0.481619
544,0.544952,21,0,0.484656155
545,0.545754,21,0,0.484656155
546,0.546623,21,0,0.484656155
547,0.547897,14,0,0.484656155
548,0.548698,14,0,0.484656155
549,0.549947,14,0,0.484656155
550,0.550749,14,0,0.484656155
551,0.552006,-45,0,0.484656155
552,0.552975,7,0,0.484656155
553,0.553777,7,0,0.484656155
554,0.554728,7,0,0.484656155
555,0.556001,21,0,0.484656155
556,0.556889,14,0,0.484656155
557,0.557690,14,0,0.484656155
558,0.558939,-52,0,0.484656155
559,0.559740,-52,0,0.484656155
560,0.560992,7,0,0.484656155
561,0.561895,7,0,0.484656155
562,0.562696,7,0,0.484656155
563,0.563934,14,0,0.484656155
564,0.564735,14,0,0.484656155
565,0.565987,14,0,0.492429197
566,0.566956,-52,0,0.492429197
567,0.567916,-52,0,0.492429197
568,0.568717,-52,0,0.492429197
569,0.569961,14,0,0.492429197
570,0.570762,14,0,0.492429197
571,0.571624,7,0,0.492429197
572,0.572902,21,0,0.492429197
573,0.573704,21,0,0.492429197
574,0.574952,-52,0,0.492429197
575,0.575754,-52,0,0.492429197
576,0.576623,-52,0,0.492429197
577,0.577897,14,0,0.492429197
578,0.578699,14,0,0.492429197
579,0.579947,14,0,0.492429197
580,0.580915,-52,0,0.492429197
581,0.581787,-52,0,0.492429197
582,0.582681,-52,0,0.492429197
583,0.583953,-52,0,0.492429197
584,0.584754,14,0,0.492429197
585,0.585623,14,0,0.492429197
586,0.586897,21,0,0.475700408
587,0.587698,21,0,0.475700408
588,0.588947,14,0,0.475700408
